id,premium,vacancy_name,city,salary,salary_from,salary_to,currency,experience,schedule,employment,description,skills,employer,publish_date,vacancy_url,has_test
73471184,True,Data engineer,Москва,False,,,,От 3 до 6 лет,Полный день,Полная занятость,"Мы команда, которая управляет риском в портфеле потребительских кредитов, и сейчас мы ищем сильного data-инженера, который поможет искать, обрабатывать, актуализировать и улучшать необходимые источники информации. Все участники команды постоянно нуждаются в данных для проверки и реализации свои идей по улучшению процесса кредитования. Если у тебя хорошие инженерные навыки и ты готов к интересной работе среди мотивированных профессионалов различных компетенций – мы ждем тебя. Обязанности  Анализ исходных данных в различных системах и форматах для решения бизнес-задач (оценка структуры, качества, полноты и применимости данных); Загрузка, очистка и трансформация больших объемов данных из различных источников (RDBMS, Hadoop, плоские файлы) в рабочую область (платформы GreenPlum, Hadoop, Oracle); Проектирование и разработка аналитических витрин данных; Мониторинг и оптимизация процессов загрузки, преобразования данных и сборки витрин; Контроль качества загружаемых данных, разработка автоматизированных инструментов для оценки качества данных; Разработка, поддержка и оптимизация инфраструктуры и внутренних сервисов для обработки больших объемов данных; Разработка инструментов для автоматизации рутинных задач, связанных с обработкой данных; Разработка и поддержка сопроводительной документации и спецификаций данных, развитие и поддержка базы знаний по вопросам работы с данными; Предоставление экспертной поддержки внутренним потребителям (data analysts, data scientists) по вопросам, связанным с использованием данных.  Требования  Не менее 3-х лет работы в качестве Data Engineer / Data Analyst / ETL Developer; Знание SQL на продвинутом уровне (аналитические функции, подзапросы, хранимые процедуры, оптимизация производительности); Опыт работы с большими объемами данных с использованием систем Oracle, Teradata, MS SQL, SAS, GreenPlum; Знание основных понятий и концепций из области Data Warehouse; Желателен опыт разработки витрин данных; Опыт работы со стеком технологий Big Data (Hadoop, Spark, Hive/Impala) является большим преимуществом; Знание розничного банковского бизнеса является преимуществом; Опыт работы по Agile (SCRUM, Kanban, и т.д.) приветствуется.  Условия  Ипотека выгоднее для каждого сотрудника и льготные условия кредитования; Бесплатная подписка СберПрайм+; Скидки на продукты компаний-партнеров; ДМС с первого дня и льготное страхование для близких; Корпоративная пенсионная программа; Обучение за счет Компании: онлайн курсы в Виртуальной школе Сбера и неограниченный доступ к библиотеке, обучение в Корпоративном университете, Тренинги, митапы и возможность получить новую квалификацию. ",,СБЕР,2022-12-24 09:03:11+03:00,https://hh.ru/vacancy/73471184,False
74130972,False,Data Engineer,Краснодар,True,,300000.0,RUB,От 3 до 6 лет,Гибкий график,Полная занятость,"Одна из ведущих розничных сетей в России по торговле продуктами питания и лидером по количеству магазинов и географии их расположения в поиске Data Engineer IT-подразделение строит экосистему компании, автоматизирует 45 распределительных центров, управляет транспортной логистикой, прогнозирует спрос, интегрирует передовые конфигурации ERP, создает продукты для персонализации клиентского опыта. Сейчас планируется переход на Greeplum. У вас будет возможность развиваться в области проектирования и развития хранилища данных. Основная задача - создавать, оптимизировать хранилище и данные в нем для команды продуктовых аналитиков.   Стек технологий: Python, SQL, Airflow, Clickhouse, Greenplum, Spark Обязанности:  Формирование модели данных хранилища и ETL по обновлению этой модели; Разработка витрин и новых интеграций, а также улучшение и поддержка существующих; Контроль и развитие ETL процессов; Мониторинг загрузки и производительности хранилища данных; Оптимизация хранилища и запросов; Поддержка аналитиков и других пользователей.    Какой опыт необходим:  Опыт работы в качестве инженера данных от 2-х лет; Знание и умение использовать разные парадигмы хранения и организации данных; Уверенное владение SQL; Опыт построения нагруженных хранилищ 10Tb+; Круто если есть опыт работы с Postgres-подобными базами (redshift, greenplum) или Clickhouse; Будет плюсом опыт с облачными хранилищами типа AWS, Azure, Я.Облако.    Что предлагает компания:  Стабильная белая заработная плата; Оформление по ТК РФ; Работа в аккредитованной IT-компании; Полностью удаленный формат работы на территории РФ или при желании можно посещать офис (Москва, Краснодар); Расширенная ДМС после испытательного срока; Бонусы и скидки на продукцию компании.    Откликайтесь и мы с вами свяжемся!","['Python', 'Spark', 'SQL', 'ETL', 'Big Data']","Hi, Rockits!",2022-12-22 09:40:55+03:00,https://hh.ru/vacancy/74130972,False
73468878,True,Python developer (Machine Learning Engineer),Москва,False,,,,От 1 года до 3 лет,Полный день,Полная занятость,"В Сбере каждый год растёт количество моделей, используемых в процессах банка. При этом каждую из этих моделей мало разработать, нужно её ещё провалидировать, внедрить и поставить на регулярный мониторинг. Чтобы эффективно решать эти задачи, в Сбере появилась платформа полного цикла для работы с данными и моделями - SberDS. Она позволяет эффективней решать задачи подготовки данных и машинного обучения, ускоряет процесс проверки гипотез, упрощает процесс разработки и валидации моделей, а также контролирует результат работы модели в проде. В команду SberDS.R&amp;D мы ищем талантливого ML-инженера который будет:  Определять перечень доработок платформы и участвовать в их реализации; Исследовать возможности решения задач заказчиков на SberDS; Расширять возможности платформы в областях DS-вычислений и глубокого обучения.  Для этого потребуется:  Хорошее знание Python (стандартные и ML библиотеки, умение применять ООП); Понимание принципов построения моделей машинного обучения; Знание SQL; Опыт работы с docker; Умение работать с git; Системное мышление, желание разбираться в предметной области, в бизнес-процессах; Техническое высшее образование.  Будет плюсом если есть опыт работы с:  Spark (pyspark) и в целом с экосистемой Hadoop; Библиотеками deep learning (PyTorch, Tensorflow, и т. д.) Linux-системами Flask/Django  Мы предлагаем:  Ипотека выгоднее для каждого сотрудника и льготные условия кредитования; Бесплатная подписка СберПрайм+; Скидки на продукты компаний-партнеров; ДМС с первого дня и льготное страхование для близких; Корпоративная пенсионная программа; Обучение за счет Компании: онлайн курсы в Виртуальной школе Сбера и неограниченный доступ к библиотеке, обучение в Корпоративном университете, Тренинги, митапы и возможность получить новую квалификацию. ",,СБЕР,2022-12-24 09:03:14+03:00,https://hh.ru/vacancy/73468878,False
73471713,True,Middle/Senior Data Engineer в Sber AI Lab,Москва,False,,,,От 1 года до 3 лет,Полный день,Полная занятость,"описание проекта Наша лаборатория занимается как научной деятельностью, так и разработкой сложных и интересных моделей в области финансов, экономики, рекомендательных систем и проч. На текущий момент в Лаборатории существует направления: AutoML, AI в медицине и Deep Learning, на которые мы ищем специалистов Data Engineers уровня Middle и Senior. Наша команда состоит из специалистов с опытом в известных мировых IT-компаниях (например, Яндекс, Google), мастеров Kaggle, ученых с публикациями на ведущих конференциях (NIPS, ICML, KDD, RecSys). обязанности Чем вы будете заниматься:  подготовка датасетов из больших массивов сырых данных и их анализ; инженерная часть разработки новых наукоемких технологий; взаимодействие с прикладными командами по их внедрению; создание MVP; организация инфраструктуры хранения и упорядочивания данных и связанной с ними информации  требования  Хорошее знание Python (в т.ч. опыт работ с какими-то из Python ML - frameworks (Pandas, NumPy, SciPy, PySpark, TensorFlow, PyTorch), опыт разработки от 1 года Высокая техническая грамотность (алгоритмический базис, основы архитектуры компьютеров) Глубокое понимание основ machine learning или deep learning Опыт разработки сложных моделей ML/DL Знание C++ или Java будут плюсом Уверенное знание базовых вещей в теории вероятностей, математическом анализе, линейной алгебре Умение анализировать научную литературу, разбираться в незнакомой теме Желание заниматься инженерной и инфраструктурной стороной проблемы Scripting (bash/powershell) – поднимать и настраивать сервера в облачных средах часто приходится самостоятельно Опыт разработки под Linux среды (Ubuntu, RedHat) обязателен Знание систем контроля версий, опыт коллективный разработки. У нас Git (BitBucket внутри сети банка и GitHub в остальных случаях)  условия  Профессиональный коллектив (где работают грандмастера и мастера Kaggle и лучшие исследователи в AI) Масштабные проекты Акцент на результат Конкурентный уровень компенсации, Премии по итогу ревью ДМС с первого дня работы Работа в лучшем офисе страны (метро Кутузовская), удалённая работа не предусмотрена. ","['SQL', 'Python', 'PostgreSQL', 'Linux', 'Java', 'Алгоритмически базис', 'Pandas', 'NumPy', 'ML']",СБЕР,2022-12-24 09:03:12+03:00,https://hh.ru/vacancy/73471713,False
74130975,False,Data Engineer,Иннополис,True,,300000.0,RUB,От 3 до 6 лет,Гибкий график,Полная занятость,"Одна из ведущих розничных сетей в России по торговле продуктами питания и лидером по количеству магазинов и географии их расположения в поиске Data Engineer IT-подразделение строит экосистему компании, автоматизирует 45 распределительных центров, управляет транспортной логистикой, прогнозирует спрос, интегрирует передовые конфигурации ERP, создает продукты для персонализации клиентского опыта. Сейчас планируется переход на Greeplum. У вас будет возможность развиваться в области проектирования и развития хранилища данных. Основная задача - создавать, оптимизировать хранилище и данные в нем для команды продуктовых аналитиков.   Стек технологий: Python, SQL, Airflow, Clickhouse, Greenplum, Spark Обязанности:  Формирование модели данных хранилища и ETL по обновлению этой модели; Разработка витрин и новых интеграций, а также улучшение и поддержка существующих; Контроль и развитие ETL процессов; Мониторинг загрузки и производительности хранилища данных; Оптимизация хранилища и запросов; Поддержка аналитиков и других пользователей.    Какой опыт необходим:  Опыт работы в качестве инженера данных от 2-х лет; Знание и умение использовать разные парадигмы хранения и организации данных; Уверенное владение SQL; Опыт построения нагруженных хранилищ 10Tb+; Круто если есть опыт работы с Postgres-подобными базами (redshift, greenplum) или Clickhouse; Будет плюсом опыт с облачными хранилищами типа AWS, Azure, Я.Облако.    Что предлагает компания:  Стабильная белая заработная плата; Оформление по ТК РФ; Работа в аккредитованной IT-компании; Полностью удаленный формат работы на территории РФ или при желании можно посещать офис (Москва, Краснодар); Расширенная ДМС после испытательного срока; Бонусы и скидки на продукцию компании.    Откликайтесь и мы с вами свяжемся!","['Python', 'Spark', 'SQL', 'ETL', 'Big Data']","Hi, Rockits!",2022-12-22 09:40:55+03:00,https://hh.ru/vacancy/74130975,False
74080730,False,Data Engineer,Москва,True,300000.0,,RUB,От 3 до 6 лет,Полный день,Полная занятость,"Gaia-компания занимается производством видеопродукции и распространением через интернет по подписке. Компания Gaia сочетает внимание к развитию направлений, связанных со здоровьем, индивидуальным духовным развитием, и в то же время темами, далекими от современной науки. Старта-ап В команду профессионалов требуется Data Engineer! Что мы предлагаем:  Работа на контрактной основе. График работы с 16.00 до 24.00 ,для возможности прямого общения с офисом в США. Исходная зарплата 300 000 руб в месяц с бонусами за существенный вклад в законченные проекты и возможностью роста.  Опыт работы в средах:  Pyspark; Python; SQL; At least one Big Data Technology (e.g. Hive, Hadoop, Presto, or ...); ETL with Data Lake Architectures; At least one Workflow Technology (e.g. Airflow, or ...); Agile development: Scrum and/or Kanban; CI/CD with unit and integration tests.  Будет преимуществом : Hive, Presto, Airflow, Quoble, Emarsys (or another email service provider), AWS EC2, RDS, S3, New Relic monitoring and troubleshooting, AWS monitoring and troubleshooting tools, AWS Personalize Что для нас важно:  Опыт работе на аналогичной должности не менее 5 лет ; Английский язык,уверенное владение ; Знание всех социальных платформ (Instagram, Facebook, Twitter, etc.).  Если Вы хотите стать частью команды,смело откликайтесь ,мы Вам рады!",,Райков Евгений Игоревич,2022-12-21 10:10:19+03:00,https://hh.ru/vacancy/74080730,False
74130974,False,Data Engineer,Санкт-Петербург,True,,300000.0,RUB,От 3 до 6 лет,Гибкий график,Полная занятость,"Одна из ведущих розничных сетей в России по торговле продуктами питания и лидером по количеству магазинов и географии их расположения в поиске Data Engineer IT-подразделение строит экосистему компании, автоматизирует 45 распределительных центров, управляет транспортной логистикой, прогнозирует спрос, интегрирует передовые конфигурации ERP, создает продукты для персонализации клиентского опыта. Сейчас планируется переход на Greeplum. У вас будет возможность развиваться в области проектирования и развития хранилища данных. Основная задача - создавать, оптимизировать хранилище и данные в нем для команды продуктовых аналитиков.   Стек технологий: Python, SQL, Airflow, Clickhouse, Greenplum, Spark Обязанности:  Формирование модели данных хранилища и ETL по обновлению этой модели; Разработка витрин и новых интеграций, а также улучшение и поддержка существующих; Контроль и развитие ETL процессов; Мониторинг загрузки и производительности хранилища данных; Оптимизация хранилища и запросов; Поддержка аналитиков и других пользователей.    Какой опыт необходим:  Опыт работы в качестве инженера данных от 2-х лет; Знание и умение использовать разные парадигмы хранения и организации данных; Уверенное владение SQL; Опыт построения нагруженных хранилищ 10Tb+; Круто если есть опыт работы с Postgres-подобными базами (redshift, greenplum) или Clickhouse; Будет плюсом опыт с облачными хранилищами типа AWS, Azure, Я.Облако.    Что предлагает компания:  Стабильная белая заработная плата; Оформление по ТК РФ; Работа в аккредитованной IT-компании; Полностью удаленный формат работы на территории РФ или при желании можно посещать офис (Москва, Краснодар); Расширенная ДМС после испытательного срока; Бонусы и скидки на продукцию компании.    Откликайтесь и мы с вами свяжемся!","['Python', 'Spark', 'SQL', 'ETL', 'Big Data']","Hi, Rockits!",2022-12-22 09:40:55+03:00,https://hh.ru/vacancy/74130974,False
74080731,False,Data Engineer,Санкт-Петербург,True,300000.0,,RUB,От 3 до 6 лет,Полный день,Полная занятость,"Gaia-компания занимается производством видеопродукции и распространением через интернет по подписке. Компания Gaia сочетает внимание к развитию направлений, связанных со здоровьем, индивидуальным духовным развитием, и в то же время темами, далекими от современной науки. Старта-ап В команду профессионалов требуется Data Engineer! Что мы предлагаем:  Работа на контрактной основе. График работы с 16.00 до 24.00 ,для возможности прямого общения с офисом в США. Исходная зарплата 300 000 руб в месяц с бонусами за существенный вклад в законченные проекты и возможностью роста.  Опыт работы в средах:  Pyspark; Python; SQL; At least one Big Data Technology (e.g. Hive, Hadoop, Presto, or ...); ETL with Data Lake Architectures; At least one Workflow Technology (e.g. Airflow, or ...); Agile development: Scrum and/or Kanban; CI/CD with unit and integration tests.  Будет преимуществом : Hive, Presto, Airflow, Quoble, Emarsys (or another email service provider), AWS EC2, RDS, S3, New Relic monitoring and troubleshooting, AWS monitoring and troubleshooting tools, AWS Personalize Что для нас важно:  Опыт работе на аналогичной должности не менее 5 лет ; Английский язык,уверенное владение ; Знание всех социальных платформ (Instagram, Facebook, Twitter, etc.).  Если Вы хотите стать частью команды,смело откликайтесь ,мы Вам рады!",,Райков Евгений Игоревич,2022-12-21 10:10:19+03:00,https://hh.ru/vacancy/74080731,False
73042352,True,Data Engineer/ETL developer (Senior/Middle+),Казань,False,,,,От 3 до 6 лет,Полный день,Полная занятость,"Компания Hoff - специализированный маркетплейс, активно развиваемся в ИТ, планируем использовать Data driven и Data Quality подходы.Приглашаем коллег в команду разработки аналитических систем, которая отвечает за кодинг процедур, поддержку и развитие DWH, подготовку данных для отчетности.Мы активно развиваемся и планируем использовать Data driven и Data Quality подходы.Сейчас решаем глобальную задачу рефакторинга DWH – есть возможность реализовать идеи новой структуры архитектуры хранения данных, новых витрин, и принять участие в построении real-time отчетности.Наши преимущества:  Возможность работы с разнообразным стеком: YandexCloud, ClickHouse, Airflow, Python, MSSQL (OLAP, T-SQL). В перспективе возможность участия в проекте c MPP-системой (Greenplum). Баланс между сложными и рутинными задачами.  Задачи:  Реализация задач Департамента электронной коммерции (Airflow, Python); Участие в миграции данных (Yandex.Cloud - ClickHouse); Написание Python скриптов / DAG-ов для интеграции с внешними источниками; Формирование пользовательских витрин данных; Интеграция данных в OLAP (табулярные модели, многомерные кубы); Реализация новой модели DWH (Data Vault); Участие в переводе DWH на MPP-систему (Greenplum).  Для сотрудничества с нами вам понадобятся:  Опыт промышленной разработки DWH (работа с таблицами, сбор сложных витрин) не менее 3 лет; Практические навыки работы с любой из реляционных баз данных: SQL Server, PostgreSQL, Oracle, DB2, SQLite, Sybase; Разработки на ANSI-SQL, любой из диалектов (T-SQL/PL-SQL); Практический опыт разработки ETL с помощью Airflow (Python).  Плюсом будет:  Опыт работы с BigQuery, ClickHouse; Опыт работы с высоконагруженными системами DWH, DataLake. Опыт работы с OLAP кубами SSAS.  Мы предлагаем:  Полностью «белую» заработную плату (оклад + квартальный бонус); График работы 5/2 c 09-18, 10-19.00; Возможен удаленный формат занятости; Для тех, кому нужен офис: ст. м. Улица 1905 г., корпоративный транспорт от метро (7 минут от метро) и МЦК Шелепиха для удобства; Расширенный социальный пакет: ДМС, включающая стоматологию, полис для выезжающих за рубеж; льготные условия оформления страховки для членов семьи; Корпоративные скидки на все товары Hoff до 20% с первого дня работы, и на услуги компаний-партнеров (фитнес, иностранные языки, путешествия и т.д.) Оборудование для работы; Общекомандные встречи для неформального общения.  Присоединяйтесь к нашей команде, с нами интересно!  ","['SQL', 'PostgreSQL']",Hoff,2022-12-21 16:28:04+03:00,https://hh.ru/vacancy/73042352,False
73831803,False,Engineering manager (Serbia),Москва,True,5000.0,,USD,Более 6 лет,Полный день,Полная занятость,"About the role: Fivetran is looking for an Engineering Manager to join the engineering leadership team. You will be working closely with engineers (front end/ full stack engineers) and product managers to build the future of the Fivetran product. We encourage both new and seasoned engineering leaders to apply. As an Engineering Manager, you will lead a team of engineers, and coordinate with other stakeholders at the company, including product management, support engineers, and sales engineers. You will take full responsibility for the quality, efficiency, and reliability of your focus areas; and you will build and maintain a team that reliably delivers excellent results while maintaining a culture of engagement, fairness, and continuous improvement. As an Engineering Manager at Fivetran, you will:    Become an expert with database and replication technologies   Become an expert with our ELT pipeline and drive new feature development and optimization initiatives   Coach and mentor engineers on the team and help them advance in their careers   Recruit engineers that are amongst the best in the industry, from outreach through close   You will diagnose and resolve obstacles that prevent your team from delivering high-quality software   Manage the processes necessary to operate the team effectively   Contribute to engineering-wide initiatives as part of the engineering management team   You will foster an atmosphere of continuous improvement as a coach, mentor, and technical advisor to your team   What you bring to the table:   You are ready to relocate to Serbia   Strong track record as a front end software engineer delivering high impact software, with engineering manager or team lead experience.   Strong leadership skills and a proven ability to motivate teams to produce high quality software   Aptitude in decision making and problem-solving   Demonstrated competency in development processes, project and program leadership   Ability to develop and communicate across teams to get an effective vision and get buy-in from stakeholders   Demonstrated technical skills in at least one of the following areas: database technologies, performance engineering, data pipelines   Nice-to-haves:   Experience in data processing (ETL, ELT) and/or cloud-based platforms   Experience in designing and developing file, event, application, or database connectors   Experienced working in a cloud environment utilizing AWS, GCP, Postgres, Kubernetes, Docker, CircleCI, or similar technologies   Perks of working with us:  Good relocation bonus RSUs grant Medical insurance for employees and their children Life insurance Professional development and training opportunities English classes Cell phone reimbursement Company happy hours and fun team building activities ",,Fivetran,2022-12-23 22:04:46+03:00,https://hh.ru/vacancy/73831803,False
